Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
5097,1981-2010,42,46.0,66.0,117.0,184.0,243.0,219.0,239.0,211.0,152.0,111.0,52.0,36.0,1676.0
5099,1981-2010,42,39.0,68.0,113.0,169.0,198.0,207.0,225.0,209.0,144.0,90.0,40.0,29.0,1531.0
5105,1981-2010,46,67.2,88.2,123.0,160.2,191.0,201.4,225.4,213.1,160.0,112.8,69.3,50.5,1662.2
5107,1981-2010,46,67.7,89.2,124.1,159.5,190.1,200.7,224.5,212.0,160.6,113.7,70.2,51.1,1663.4
5109,1981-2010,42,48.0,69.0,117.0,182.0,237.0,216.0,235.0,210.0,152.0,113.0,52.0,37.0,1668.0
5111,1981-2010,46,66.8,88.6,123.9,166.8,203.5,198.2,228.9,209.9,156.0,120.1,67.0,50.5,1680.1
5120,1981-2010,46,61.9,83.0,120.7,165.0,197.8,211.1,233.8,219.5,160.0,110.0,63.2,44.8,1670.9
5127,1981-2010,46,68.9,86.4,125.4,158.9,188.8,205.6,228.9,208.4,161.3,114.3,69.5,53.9,1670.3
5128,1981-2010,46,65.8,85.3,126.4,160.6,191.9,209.3,231.3,211.6,161.3,110.9,65.3,50.0,1669.6
5133,1981-2010,42,39.0,69.0,106.0,159.0,190.0,186.0,201.0,190.0,133.0,94.0,39.0,28.0,1434.0
5138,1981-2010,46,52.2,81.9,130.3,174.6,208.3,225.5,247.4,226.3,158.1,100.5,54.9,40.7,1700.7
5142,1981-2010,46,47.9,68.4,122.9,191.2,244.4,221.1,246.2,219.5,157.6,111.6,51.2,35.6,1717.4
5146,1981-2010,42,44.0,69.0,107.0,169.0,218.0,201.0,215.0,202.0,146.0,107.0,51.0,34.0,1563.0
5149,1981-2010,42,49.0,79.0,116.0,171.0,207.0,209.0,230.0,215.0,156.0,105.0,50.0,37.0,1624.0
5158,1981-2010,42,51.0,74.0,111.0,169.0,217.0,208.0,218.0,205.0,145.0,111.0,52.0,40.0,1601.0
5165,1981-2010,46,46.1,69.8,107.9,168.0,215.4,200.3,214.4,201.3,145.3,108.1,51.8,35.5,1563.7
5185,1981-2010,46,50.6,79.5,111.6,169.5,208.8,208.8,228.6,212.9,154.2,107.6,51.8,35.8,1619.6
5229,1981-2010,46,67.6,85.6,121.8,154.8,186.9,205.4,227.0,213.0,160.7,114.8,71.5,52.3,1661.5
5236,1981-2010,46,40.8,69.4,107.0,168.4,211.9,193.0,207.2,194.4,137.9,104.8,48.3,33.0,1516.1
5244,1981-2010,46,43.8,78.0,120.2,174.0,203.7,216.9,238.8,216.7,155.3,99.2,48.0,34.5,1628.8
5250,1981-2010,46,59.8,87.6,137.6,177.6,208.6,233.8,254.9,236.3,173.4,113.2,65.3,48.7,1796.8
5252,1981-2010,46,42.8,68.2,103.3,160.8,201.3,188.8,202.6,191.1,134.1,98.0,45.1,32.6,1468.9
5267,1981-2010,46,47.7,71.2,107.9,166.2,211.0,203.3,214.4,201.0,141.0,105.8,48.0,37.3,1554.8
5275,1981-2010,42,48.0,79.0,121.0,175.0,207.0,219.0,240.0,223.0,160.0,103.0,53.0,37.0,1665.0
5277,1981-2010,46,41.2,70.9,108.1,165.9,194.3,194.9,209.7,197.5,139.1,93.9,40.0,31.4,1486.8
